filepath,duration,analyse_formants,analyse_zero_crossing,analyse_harmonics,get_number_sylls,get_number_words,pauses,analyse_pitch,analyse_pitch_range,analyse_shimmer,analyse_jitter,spectral_slope,analyse_mfcc,mean_spectral_rolloff,get_energy,label
batmanc_1,2.715283447,"[676.0375929869376, 1820.8982080518197, 2672.8088524929094, 3506.5289029302417]",0.20448551,5.496842894,4.787713789,3.682856761,0.736571352,108.5590494,405.9902661,0.094404759,0.032887931,-0.113618465,-8.271702,2587.941331,0.044035841,batmanc
batmanc_10,1.400453515,"[638.1875834140756, 1778.7972476071334, 2770.322117836755, 3626.91696074889]",0.172259221,2.925779277,2.856217617,2.142163212,0.714054404,112.6699236,116.5399993,0.13273087,0.025588302,-0.12790997,-12.027389,2433.075451,0.023947877,batmanc
batmanc_100,2.224761905,"[656.0982159482753, 1544.9467072453788, 2501.0074610995603, 3644.688252332915]",0.138524373,2.687039117,5.393835616,3.14640411,0.449486301,85.48192713,117.8049056,0.11688504,0.025349895,-0.212102948,-3.8182976,1698.767853,0.059054335,batmanc
batmanc_101,4.056235828,"[642.3765301776583, 1567.993070145082, 2486.914734053254, 3573.441968513308]",0.188125,2.45625907,3.698009839,2.465339893,0.986135957,91.92909672,294.5901439,0.13909436,0.030254246,-0.109477923,-9.505966,1791.131836,0.059325949,batmanc
batmanc_102,4.018503401,"[723.2291194526464, 1769.4688144103907, 2630.9378133475907, 3677.7945674274783]",0.257063241,4.533855381,3.235035211,2.488488624,0.746546587,119.9805222,158.7679998,0.11261853,0.025586323,-0.083983909,-12.852285,2348.418558,0.051268923,batmanc
batmanc_103,4.407437642,"[648.5908589203029, 1714.3188576194743, 2562.403760750485, 3536.752203654437]",0.13592465,6.031262162,3.857116398,2.949559598,0.907556799,109.2663658,109.0361476,0.110512829,0.027079022,-0.166887788,-9.180833,1523.360788,0.095795672,batmanc
batmanc_104,7.623401361,"[678.1576955287709, 1609.2350364488748, 2704.4809366835075, 3625.3765772647102]",0.151747127,5.22598813,4.591126499,3.017025985,0.393525128,98.59099486,148.1076799,0.109407109,0.029712712,-0.159324959,-7.9903817,1711.366045,0.15889976,batmanc
batmanc_105,3.153560091,"[703.0733891472726, 1512.9062284881059, 2699.907245034906, 3566.8176990585466]",0.13731115,4.344382305,5.707834791,3.488121261,0.951305798,97.23543096,491.0815995,0.148250813,0.028708003,-0.134405725,-6.767375,1518.328319,0.057423537,batmanc
batmanc_106,1.089886621,"[493.8026461577185, 1533.2412546675746, 2581.8419536057054, 3421.2231804340317]",0.051165642,6.549462487,0.917526631,2.752579893,0.917526631,89.1824347,170.2997662,0.127013314,0.024874488,-0.149942585,-11.763326,645.9960938,0.019229595,batmanc
batmanc_107,2.047709751,"[508.06211802345, 1756.9537737716093, 2638.2382101757817, 3516.6294395386403]",0.101140054,4.620626003,3.906803685,3.418453225,1.465051382,82.97762265,136.5705666,0.122980391,0.02434035,-0.126152942,-11.297711,1297.315002,0.031021918,batmanc
